Image and Tag Name,Number of unique CVEs,Low CVEs,Medium CVEs,High CVEs,Critical CVEs,Unassigned CVEs,Differing CVEs,Number of Pulls,Number of Repo Stars,Category,SubCategories,Size
rancher/klipper-lb:v0.4.8,3,0,2,0,0,0,1,145142069,2,verified,,4983939
amazon/amazon-ecs-agent:arm64-v1.83.0,9,3,0,0,0,0,6,1203865088,104,verified,,25279523
amazon/aws-alb-ingress-controller:v2.4.4-linux_arm64,68,4,18,34,5,0,7,150418505,6,verified,integration-and-delivery/networking/security,15825731
amazon/aws-node-termination-handler:v1.12.1,137,6,44,69,7,3,8,157216923,10,verified,integration-and-delivery/monitoring-and-observability/networking,11007060
newrelic/infrastructure-bundle:3.2.44-rc,31,8,12,1,0,7,3,3151778042,11,verified,,186971733
amazon/aws-alb-ingress-controller:v2.4.5-linux_amd64,66,4,18,32,5,0,7,150418505,6,verified,integration-and-delivery/networking/security,17368985
bitnami/etcd:3.5.14,46,31,2,1,2,0,10,124508305,185,verified,,7967
grafana/grafana:main,36,10,16,4,2,3,1,4633511576,3069,verified,internet-of-things/monitoring-and-observability/security,122997041
bitnami/zookeeper:3.8.4,69,41,0,1,1,1,25,307105601,119,verified,integration-and-delivery/networking/security,7967
bitnami/redis-cluster:7.2.5,51,33,0,1,2,0,15,140035032,50,verified,databases-and-storage/message-queues/security,7967
bitnami/etcd:3.4-debian-12,50,34,3,3,1,0,9,124508305,185,verified,,59639124
nginx/nginx-ingress:edge,104,56,1,1,1,0,45,1022141035,92,verified,,109333942
rancher/pause:3.6,0,0,0,0,0,0,0,536854258,7,verified,,296517
amazon/aws-otel-collector:v0.38.1,19,4,7,6,0,0,2,141790666,10,verified,integration-and-delivery/monitoring-and-observability,37327281
cimg/openjdk:17.0-browsers,911,141,586,82,5,72,25,63153083,8,verified,languages-and-frameworks/integration-and-delivery/security,1425510669
bitnami/kafka:3.3.2-debian-12-r26,95,43,16,7,2,2,25,290524245,865,verified,integration-and-delivery/message-queues/monitoring-and-observability,372246071
cimg/go:1.22.4-browsers,818,132,520,68,5,70,23,59190280,11,verified,languages-and-frameworks/integration-and-delivery/security,1036596885
bitnami/memcached:1,59,38,0,1,1,0,19,122805335,32,verified,databases-and-storage/integration-and-delivery/monitoring-and-observability,47608546
grafana/loki:main-5a357ea-arm,18,5,9,0,0,1,3,1824555956,245,verified,databases-and-storage/integration-and-delivery/monitoring-and-observability,25468095
percona/percona-xtradb-cluster-operator:1.14.0-pxc8.0.36-backup-pxb8.0.35,108,37,42,10,3,0,16,2524718822,16,verified,,169726459
circleci/docker-gc:0.2.1725-branch-58136d0,2,2,0,0,0,0,0,64984966,6,verified,,3938654
bitnami/kafka:3.3-debian-12,95,43,16,7,2,2,25,290524245,865,verified,integration-and-delivery/message-queues/monitoring-and-observability,372246071
rancher/server:stable,1895,433,1121,158,45,102,36,72644401,609,verified,integration-and-delivery/monitoring-and-observability/networking,404929140
newrelic/infrastructure-bundle:3.2.45-rc,31,8,13,1,0,7,2,3151778042,11,verified,,186972035
docker/ucp-interlock-proxy:3.3.0,129,2,24,33,9,61,0,152083193,2,verified,,14491536
lacework/datacollector:6.14.0-amd64,51,22,18,5,0,0,6,1203158697,20,verified,integration-and-delivery/monitoring-and-observability/security,55562523
rancher/rke-tools:v0.1.97,144,7,48,49,5,26,9,87666758,12,verified,,129801138
bitnami/phpmyadmin:5,164,86,15,10,3,1,49,75047448,45,verified,,146448652
bitnami/prometheus:2,56,34,5,1,1,0,15,52920530,217,verified,integration-and-delivery/monitoring-and-observability/security,99713161
